"TransactionDate","TransactionYear","TransactionMonth","TransactionWeekday","SalesRepID","Order","Customer","CustomerLat","CustomerLon","CustomerDistance","CustomerSatisfaction","Facility","FacilityLat","FacilityLon","FacilityOpeningDate","FacilityAge","FacilityEmployees","FacilityEfficiency","FacilityContinent","FacilityContinentLat","FacilityContinentLon","FacilityCountry","FacilityCountryLat","FacilityCountryLon","FacilityRegion","FacilityRegionLat","FacilityRegionLon","FacilityCity","FacilityCityLat","FacilityCityLon","Unit","UnitAge","UnitLifespan","UnitLifespanLimit","UnitReliability","UnitStatus","UnitStatusCode","UnitCapacity","UnitTarget","UnitActual","UnitDiscards","UnitYieldRate","UnitDiscardRate","Product","ProductBrand","ProductLine","ProductMake","ProductStyle","ProductPriceTarget","ProductPriceActual","ProductMaterialCost","ProductCostOfSale","ProductQuality","SalesRep","SalesRepCustomers","SalesRepRating","SalesRepCustomerBase"
"01/01/98","1998","JAN98","Thu","        1727","NDS00000107188","CAVANCOU000139423"," 49.11708222","-123.0856031","10.0","  90%","CAVANCOU0075","   49.260399","  -123.11335","01/01/95","  3","           4","  90%","North America","   46.073056"," -100.546667","Canada","   56.954118","-96.81870556","British Columbia","     54.4987","-125.1167269","Vancouver","   49.260399","  -123.11335","NDS000034"," 36","  80%","  60%","  96%","Active","           1","          68","          47","          46","           0","  98%","   0%","NDS0001069923","Novelty","Kiosk","Clip (s)","Metalic","           3","           3","           0","           3","  90%","CAVANCOU001727","         156"," 100%","   1,910,000"
"01/01/98","1998","JAN98","Thu","        1727","NDS00000107188","CAVANCOU000139423"," 49.11708222","-123.0856031","10.0","  90%","CAVANCOU0075","   49.260399","  -123.11335","01/01/95","  3","           4","  90%","North America","   46.073056"," -100.546667","Canada","   56.954118","-96.81870556","British Columbia","     54.4987","-125.1167269","Vancouver","   49.260399","  -123.11335","NDS000034"," 36","  80%","  60%","  96%","Active","           1","          68","          47","          46","           0","  98%","   0%","NDS0001069916","Novelty","Kiosk","Clip (s)","Metalic","           3","           3","           0","           3","  80%","CAVANCOU001727","         156"," 100%","   1,910,000"
"01/01/98","1998","JAN98","Thu","        1727","NDS00000107188","CAVANCOU000139423"," 49.11708222","-123.0856031","10.0","  90%","CAVANCOU0075","   49.260399","  -123.11335","01/01/95","  3","           4","  90%","North America","   46.073056"," -100.546667","Canada","   56.954118","-96.81870556","British Columbia","     54.4987","-125.1167269","Vancouver","   49.260399","  -123.11335","NDS000034"," 36","  80%","  60%","  96%","Active","           1","          68","          47","          46","           0","  98%","   0%","NDS0001069891","Novelty","Kiosk","Clip (s)","Metalic","           3","           3","           0","           3","  90%","CAVANCOU001727","         156"," 100%","   1,910,000"
"01/01/98","1998","JAN98","Thu","        1727","NDS00000107188","CAVANCOU000139423"," 49.11708222","-123.0856031","10.0","  90%","CAVANCOU0075","   49.260399","  -123.11335","01/01/95","  3","           4","  90%","North America","   46.073056"," -100.546667","Canada","   56.954118","-96.81870556","British Columbia","     54.4987","-125.1167269","Vancouver","   49.260399","  -123.11335","NDS000034"," 36","  80%","  60%","  96%","Active","           1","          68","          47","          46","           0","  98%","   0%","NDS0001069928","Novelty","Kiosk","Clip (s)","Metalic","           3","           3","           0","           3","  91%","CAVANCOU001727","         156"," 100%","   1,910,000"
"01/01/98","1998","JAN98","Thu","        1727","NDS00000107188","CAVANCOU000139423"," 49.11708222","-123.0856031","10.0","  90%","CAVANCOU0075","   49.260399","  -123.11335","01/01/95","  3","           4","  90%","North America","   46.073056"," -100.546667","Canada","   56.954118","-96.81870556","British Columbia","     54.4987","-125.1167269","Vancouver","   49.260399","  -123.11335","NDS000034"," 36","  80%","  60%","  96%","Active","           1","          68","          47","          46","           0","  98%","   0%","NDS0001069915","Novelty","Kiosk","Clip (s)","Metalic","           3","           3","           0","           3","  95%","CAVANCOU001727","         156"," 100%","   1,910,000"
"01/01/98","1998","JAN98","Thu","        1727","NDS00000107188","CAVANCOU000139423"," 49.11708222","-123.0856031","10.0","  90%","CAVANCOU0075","   49.260399","  -123.11335","01/01/95","  3","           4","  90%","North America","   46.073056"," -100.546667","Canada","   56.954118","-96.81870556","British Columbia","     54.4987","-125.1167269","Vancouver","   49.260399","  -123.11335","NDS000034"," 36","  80%","  60%","  96%","Active","           1","          68","          47","          46","           0","  98%","   0%","NDS0001069873","Novelty","Kiosk","Clip (s)","Metalic","           3","           3","           0","           3","  85%","CAVANCOU001727","         156"," 100%","   1,910,000"
"01/01/98","1998","JAN98","Thu","        1727","NDS00000107188","CAVANCOU000139423"," 49.11708222","-123.0856031","10.0","  90%","CAVANCOU0075","   49.260399","  -123.11335","01/01/95","  3","           4","  90%","North America","   46.073056"," -100.546667","Canada","   56.954118","-96.81870556","British Columbia","     54.4987","-125.1167269","Vancouver","   49.260399","  -123.11335","NDS000034"," 36","  80%","  60%","  96%","Active","           1","          68","          47","          46","           0","  98%","   0%","NDS0001069936","Novelty","Kiosk","Clip (s)","Metalic","           3","           3","           0","           3","  94%","CAVANCOU001727","         156"," 100%","   1,910,000"
"01/01/98","1998","JAN98","Thu","        1727","NDS00000107188","CAVANCOU000139423"," 49.11708222","-123.0856031","10.0","  90%","CAVANCOU0075","   49.260399","  -123.11335","01/01/95","  3","           4","  90%","North America","   46.073056"," -100.546667","Canada","   56.954118","-96.81870556","British Columbia","     54.4987","-125.1167269","Vancouver","   49.260399","  -123.11335","NDS000034"," 36","  80%","  60%","  96%","Active","           1","          68","          47","          46","           0","  98%","   0%","NDS0001069868","Novelty","Kiosk","Clip (s)","Metalic","           3","           3","           0","           3","  86%","CAVANCOU001727","         156"," 100%","   1,910,000"
"01/01/98","1998","JAN98","Thu","        1727","NDS00000107188","CAVANCOU000139423"," 49.11708222","-123.0856031","10.0","  90%","CAVANCOU0075","   49.260399","  -123.11335","01/01/95","  3","           4","  90%","North America","   46.073056"," -100.546667","Canada","   56.954118","-96.81870556","British Columbia","     54.4987","-125.1167269","Vancouver","   49.260399","  -123.11335","NDS000034"," 36","  80%","  60%","  96%","Active","           1","          68","          47","          46","           0","  98%","   0%","NDS0001069902","Novelty","Kiosk","Clip (s)","Metalic","           3","           3","           0","           3","  94%","CAVANCOU001727","         156"," 100%","   1,910,000"
"01/01/98","1998","JAN98","Thu","        1727","NDS00000107188","CAVANCOU000139423"," 49.11708222","-123.0856031","10.0","  90%","CAVANCOU0075","   49.260399","  -123.11335","01/01/95","  3","           4","  90%","North America","   46.073056"," -100.546667","Canada","   56.954118","-96.81870556","British Columbia","     54.4987","-125.1167269","Vancouver","   49.260399","  -123.11335","NDS000034"," 36","  80%","  60%","  96%","Active","           1","          68","          47","          46","           0","  98%","   0%","NDS0001069941","Novelty","Kiosk","Clip (s)","Metalic","           3","           3","           0","           3","  83%","CAVANCOU001727","         156"," 100%","   1,910,000"
